"text", "translation"
"[トレセン学園]","[Tracen Academy]"
"[やれやれ、お帰り]","[Good Grief, Welcome Back]"
"[努力は裏切らない！]","[Effort Does Not Betray!]"
"[テッペンに立て！]","[Stand at the Top!]"
"[副会長の一刺し]","[Vice President's Swift Justice]"
"[デジタル充電中+]","[Digital Charging in Progress+]"
"[検証、開始]","[Verification, Start]"
"[カワイイ＋カワイイは～？]","[Cute + Cute is~?]"
"[雨の独奏、私の独創]","[Rain's Recital, My Original]"
"[鍛えぬくトモ]","[Workout Companion]"
"[鍛えて、応えて！]","[Exercise and Excel!]"
"[シチーガール入門♯]","[City Girl Training, Begin♯]"
"[生体Aに関する実験的研究]","[Experimental Study of Lifeform A]"
"[0500・定刻通り]","[0500・Just As Scheduled]"
"[波立つキモチ]","[Rippling Feelings]"
"[マーベラス☆大作戦]","[Marvelous ☆ Masterplan]"
"[運の行方]","[Whereabouts of Luck]"
"[幸せと背中合わせ]","[Back-to-Back with Happiness]"
"[目線は気にせず]","[Don't Mind the Gazes]"
"[…ただの水滴ですって]","[…Just a Drop of Water]"
"[一流プランニング]","[First-class Planning]"
"[共に同じ道を！]","[Together on the Same Path!]"
"[見習い魔女と長い夜]","[The Apprentice Witch and the Long Night]"
"[パリピ・ぱーりないと！]","[Party People・Party Night!]"
"[準備運動は怠るべからず]","[Thou Shan't Neglect Warming Up]"
"[むじゃむじゃむじゃき]","[Disheveled Innocence]"
"[あなたにささげる]","[Devoted to You]"
"[おすすめ本、あります！]","[Book Recommendations Available!]"
"[世界の真珠、その名は]","[Pearl of the World]"
"[日本一のステージを]","[Japan's Number 1 Stage]"
"[輝く景色の、その先に]","[Beyond the Brilliant Scenery]"
"[夢は掲げるものなのだっ！]","[Let Your Dreams Be Known!]"
"[不沈艦の進撃]","[Advance of the Unsinkable Battleship]"
"[ロード・オブ・ウオッカ]","[Road of Vodka]"
"[千紫万紅にまぎれぬ一凛]","[A Myriad of Colors, a Noble Bloom]"
"[パッションチャンピオーナ！]","[Passion Campeóna!]"
"[待望の大謀]","[Long-Awaited Masterplan]"
"[天をも切り裂くイナズマ娘！]","[Heaven-Piercing Lightning Girl!]"
"[感謝は指先まで込めて]","[Gratitude Up to One’s Fingertips]"
"[飛び出せ、キラメケ]","[Jump Out and Shine]"
"[B・N・Winner!!]","[B・N・Winner!!]"
"[7センチの先へ]","[Beyond the 7 cm]"
"[Run(my)way]","[Run(my)way]"
"[はやい！うまい！はやい！]","[Fast! Delicious! Fast!]"
"[一粒の安らぎ]","[A Grain of Peace]"
"[これが私のウマドル道☆]","[This Is My 'Umadol' Way ☆]"
"[まだ小さな蕾でも]","[Even as a Tiny Bud]"
"[うらら～な休日]","[Urara~n Holiday]"
"[必殺！Wキャロットパンチ！]","[Special Move! W Carrot Punch!]"
"[ようこそ、トレセン学園へ！]","[Welcome to Tracen Academy!]"
"[『エース』として]","[As the Ace]"
"[『幸せ』が舞う時]","[When Happiness Dances]"
"[『愛してもらうんだぞ』]","['You'll Be Dearly Beloved']"
"[夕焼けはあこがれの色]","[Sunset-Colored Aspiration]"
"[ターボエンジン全開宣言！]","[Turbo Engine, Full Power!]"
"[バカと笑え]","[Laugh All You Want]"
"[迫る熱に押されて]","[Pushed by the Approaching Passion]"
"[その背中を越えて]","[Surpassing That Back]"
"[Just keep going.]","[Just keep going.]"
"[ふるさと直送エール！]","[Hometown Cheering Express!]"
"[押して忍べど燃ゆるもの]","[Unrestrainably Burning With Passion]"
"[夢はホントに叶うんだ！]","[Dreams Do Come True!]"
"[今ぞ盛りのさくら花]","[Sakura in Full Bloom]"
"[花嫁たるもの！！]","[What Makes a Bride!!]"
"[召しませふぁーすとBite！]","[Try First with Bite!]"
"[おもい、ねがう]","[A Feeling, a Wish]"
"[ふたつのノーブルライト]","[Two Noble Lights]"
