"text", "translation"
"育成でレースに勝利しよう","Win a race in training mode"
"デイリーレースに出走しよう","Run in the daily race once"
"チーム競技場をプレイしよう","Run in the team stadium once"
"育成を1回完了しよう","Complete training mode once"
"デイリーミッションを\n全てクリアしよう","Complete all daily missions"
"デイリーレースに3回出走しよう","Run in the daily race 3 times"
"育成を2回完了しよう","Complete training 2 times"
"育成を3回完了しよう","Complete training 3 times"
"育成を4回完了しよう","Complete training 4 times"
"育成を5回完了しよう","Complete training 5 times"
"育成を10回完了しよう","Complete training 10 times"
"育成を15回完了しよう","Complete training 15 times"
"育成を20回完了しよう","Complete training 20 times"
"育成を25回完了しよう","Complete training 25 times"
"育成を30回完了しよう","Complete training 30 times"
"育成を35回完了しよう","Complete training 35 times"
"育成を40回完了しよう","Complete training 40 times"
"育成を45回完了しよう","Complete training 45 times"
"育成を50回完了しよう","Complete training 50 times"
"育成を60回完了しよう","Complete training 60 times"
"育成を70回完了しよう","Complete training 70 times"
"育成を80回完了しよう","Complete training 80 times"
"育成を90回完了しよう","Complete training 90 times"
"育成を100回完了しよう","Complete training 100 times"
"育成を150回完了しよう","Complete training 150 times"
"育成を200回完了しよう","Complete training 200 times"
"育成を250回完了しよう","Complete training 250 times"
"育成を300回完了しよう","Complete training 300 times"
"育成を350回完了しよう","Complete training 350 times"
"育成を400回完了しよう","Complete training 400 times"
"育成を450回完了しよう","Complete training 450 times"
"育成を500回完了しよう","Complete training 500 times"
"育成を550回完了しよう","Complete training 550 times"
"育成を600回完了しよう","Complete training 600 times"
"育成を650回完了しよう","Complete training 650 times"
"育成を700回完了しよう","Complete training 700 times"
"育成を750回完了しよう","Complete training 750 times"
"育成を800回完了しよう","Complete training 800 times"
"育成を850回完了しよう","Complete training 850 times"
"育成を900回完了しよう","Complete training 900 times"
"育成を950回完了しよう","Complete training 950 times"
"育成を1000回完了しよう","Complete training 1000 times"
"育成を1050回完了しよう","Complete training 1050 times"
"育成を1100回完了しよう","Complete training 1100 times"
"育成を1150回完了しよう","Complete training 1150 times"
"育成を1200回完了しよう","Complete training 1200 times"
"育成を1250回完了しよう","Complete training 1250 times"
"育成を1300回完了しよう","Complete training 1300 times"
"育成を1350回完了しよう","Complete training 1350 times"
"育成を1400回完了しよう","Complete training 1400 times"
"育成を1450回完了しよう","Complete training 1450 times"
"育成を1500回完了しよう","Complete training 1500 times"
"育成を1550回完了しよう","Complete training 1550 times"
"育成を1600回完了しよう","Complete training 1600 times"
"育成を1650回完了しよう","Complete training 1650 times"
"育成を1700回完了しよう","Complete training 1700 times"
"育成を1750回完了しよう","Complete training 1750 times"
"育成を1800回完了しよう","Complete training 1800 times"
"育成を1850回完了しよう","Complete training 1850 times"
"育成を1900回完了しよう","Complete training 1900 times"
"育成を1950回完了しよう","Complete training 1950 times"
"育成を2000回完了しよう","Complete training 2000 times"
"育成でGⅠレースに\n1回勝利しよう","Win a GI race in training 1 time"
"育成でGⅠレースに\n5回勝利しよう","Win a GI race in training 5 times"
"育成でGⅠレースに\n10回勝利しよう","Win a GI race in training 10 times"
"育成でGⅠレースに\n20回勝利しよう","Win a GI race in training 20 times"
"育成でGⅠレースに\n30回勝利しよう","Win a GI race in training 30 times"
"育成でGⅠレースに\n40回勝利しよう","Win a GI race in training 40 times"
"育成でGⅠレースに\n50回勝利しよう","Win a GI race in training 50 times"
"育成でGⅠレースに\n60回勝利しよう","Win a GI race in training 60 times"
"育成でGⅠレースに\n70回勝利しよう","Win a GI race in training 70 times"
"育成でGⅠレースに\n80回勝利しよう","Win a GI race in training 80 times"
"育成でGⅠレースに\n90回勝利しよう","Win a GI race in training 90 times"
"育成でGⅠレースに\n100回勝利しよう","Win a GI race in training 100 times"
"育成でGⅡレースに\n1回勝利しよう","Win a GII race in training 1 time"
"育成でGⅡレースに\n5回勝利しよう","Win a GII race in training 5 times"
"育成でGⅡレースに\n10回勝利しよう","Win a GII race in training 10 times"
"育成でGⅡレースに\n20回勝利しよう","Win a GII race in training 20 times"
"育成でGⅡレースに\n30回勝利しよう","Win a GII race in training 30 times"
"育成でGⅡレースに\n40回勝利しよう","Win a GII race in training 40 times"
"育成でGⅡレースに\n50回勝利しよう","Win a GII race in training 50 times"
"育成でGⅡレースに\n60回勝利しよう","Win a GII race in training 60 times"
"育成でGⅡレースに\n70回勝利しよう","Win a GII race in training 70 times"
"育成でGⅡレースに\n80回勝利しよう","Win a GII race in training 80 times"
"育成でGⅡレースに\n90回勝利しよう","Win a GII race in training 90 times"
"育成でGⅡレースに\n100回勝利しよう","Win a GII race in training 100 times"
"育成でGⅢレースに\n1回勝利しよう","Win a GIII race in training 1 time"
"育成でGⅢレースに\n5回勝利しよう","Win a GIII race in training 5 times"
"育成でGⅢレースに\n10回勝利しよう","Win a GIII race in training 10 times"
"育成でGⅢレースに\n20回勝利しよう","Win a GIII race in training 20 times"
"育成でGⅢレースに\n30回勝利しよう","Win a GIII race in training 30 times"
"育成でGⅢレースに\n40回勝利しよう","Win a GIII race in training 40 times"
"育成でGⅢレースに\n50回勝利しよう","Win a GIII race in training 50 times"
"育成でGⅢレースに\n60回勝利しよう","Win a GIII race in training 60 times"
"育成でGⅢレースに\n70回勝利しよう","Win a GIII race in training 70 times"
"育成でGⅢレースに\n80回勝利しよう","Win a GIII race in training 80 times"
"育成でGⅢレースに\n90回勝利しよう","Win a GIII race in training 90 times"
"育成でGⅢレースに\n100回勝利しよう","Win a GIII race in training 100 times"
"育成でトロフィー[GI]を\n3種類獲得しよう","Win 3 GI trophies in training"
"育成でトロフィー[GI]を\n5種類獲得しよう","Win 5 GI trophies in training"
"育成でトロフィー[GI]を\n10種類獲得しよう","Win 10 GI trophies in training"
