"text", "translation"
"友情トレーニング発生による効果アップ","友情訓練產生的效果提升"
"一緒にトレーニングをしたときのやる気による効果アップ","一起訓練的幹勁帶來的效果"
"一緒にトレーニングをするとスピードの上昇量がアップ","一起訓練時速度的提升"
"一緒にトレーニングをするとスタミナの上昇量がアップ","一起訓練時耐力的提升"
"一緒にトレーニングをするとパワーの上昇量がアップ","一起訓練時力量的提升"
"一緒にトレーニングをすると根性の上昇量がアップ","一起訓練時毅力的提升"
"一緒にトレーニングをすると賢さの上昇量がアップ","一起訓練時智慧的提升"
"一緒にトレーニングしたときの効果アップ","一起訓練時效果的提升"
"育成開始時の初期スピードがアップ","育成開始的時候初始速度增加"
"育成開始時の初期スタミナがアップ","育成開始的時候初始耐力增加"
"育成開始時の初期パワーがアップ","育成開始的時候初始力量增加"
"育成開始時の初期根性がアップ","育成開始的時候初始毅力增加"
"育成開始時の初期賢さがアップ","育成開始的時候初始智慧增加"
"育成開始時の初期絆ゲージがアップ","育成開始的時候初始羈絆值增加"
"レースに出走した結果で得られるステータスの上昇量がアップ","通過參加比賽後得到的效果增加"
"レースに出走した結果で得られるファンの上昇量がアップ","通過參加比賽後得到的粉絲增加"
"ヒントイベントで得られるヒントLvがアップ","通過事件得到的技能等級提高"
"ヒントイベントが発生する確率がアップ","發生事件的概率提高"
"得意トレーニングに配置される確率がアップ","訓練安排到擅長的項目幾率提高"
"育成開始時のスピード上限がアップ","育成開始的速度上限增加"
"育成開始時のスタミナ上限がアップ","育成開始的耐力上限增加"
"育成開始時のパワー上限がアップ","育成開始的力量上限增加"
"育成開始時の根性上限がアップ","育成開始的毅力上限增加"
"育成開始時の賢さ上限がアップ","育成開始的智慧上限增加"
"このサポートカードのイベントによる回復量がアップ","這張支援卡觸發事件的回復量增加"
"このサポートカードのイベントによる効果量がアップ","這張支援卡觸發事件的效果值增加"
"一緒にトレーニングすると失敗する確率がダウン","一起訓練時降低失敗的概率"
"一緒にトレーニングすると消費する体力量がダウン","一起訓練時降低體力的消費"
"ミニゲームで得られる効果量アップ","通過小遊戲獲得的效果值增加"
"一緒にトレーニングをするとスキルPtの上昇量がアップ","一起訓練時增加獲取的技能點"
"賢さ友情トレーニング発生による回復量がアップ","智力訓練回復的體力值增加"
