"text", "translation"
"スキルPtボーナスと初期賢さアップ","Skill Pt bonus and initial wisdom increase"
"やる気効果アップと初期絆ゲージアップ","Motivation bonus and initial bond gauge increase"
"友情ボーナスとレースボーナス","Friendship and race bonus"
"やる気効果アップとレースボーナス","Motivation and race bonus"
"友情ボーナスと初期パワーアップ","Friendship bonus and initial power increase"
"トレーニング効果アップとヒント発生率アップ","Training bonus and hint appearance rate up"
"友情ボーナスと得意率アップ","Friendship bonus and specialty rate up"
"トレーニング効果アップと得意率アップ","Training bonus and specialty rate up"
"友情ボーナスとヒント発生率アップ","Friendship bonus and hint appearance rate up"
"根性ボーナスと初期根性アップ","Guts bonus and initial guts increase"
"スキルPtボーナスとヒント発生率アップ","Skill Pt bonus and hint appearance rate up"
"やる気効果アップと得意率アップ","Motivation bonus and specialty rate up""
"やる気効果アップと初期賢さアップ","Motivation bonus and initial wisdom increase"
"友情ボーナスと初期絆ゲージアップ","Friendship bonus and initial bond gauge increase"
"トレーニング効果アップと初期賢さアップ","Training bonus and initial wisdom increase"
"やる気効果アップと初期根性アップ","Motivation bonus and initial guts increase"
"スピードボーナスと初期スピードアップ","Speed bonus and initial speed increase"
"失敗率ダウンと体力消費ダウン","Fail rate and energy consumption lowered"
"賢さボーナスと得意率アップ","Wisdom bonus and specialty rate up"
"友情ボーナスと初期スタミナアップ","Friendship bonus and initial stamina increase"
"やる気効果アップとヒント発生率アップ","Motivation bonus and hint appearance rate up"
"友情ボーナスと初期スピードアップ","Friendship bonus and initial speed increase"
"トレーニング効果アップと初期絆ゲージアップ","Training bonus and initial bond gauge increase"
"トレーニング効果アップと初期スタミナアップ","Training bonus and initial stamina increase"
"トレーニング効果アップと初期根性アップ","Training bonus and initial guts increase"
"パワーボーナスと初期パワーアップ","Power bonus and initial power increase"
"スタミナボーナスと初期スタミナアップ","Stamina bonus and initial stamina increase"
"トレーニング効果アップとレースボーナス","Training bonus and race bonus"
"友情ボーナスと初期根性アップ","Friendship bonus and initial guts increase"
"スタミナボーナスとトレーニング効果アップ","Stamina and training bonus"
"友情ボーナスとスピードボーナス","Friendship and speed bonus"
"やる気効果アップとスタミナボーナス","Motivation and stamina bonus"
"トレーニング効果アップと初期パワーアップ","Training bonus and initial power increase"
"パワーボーナスとスキルPtボーナス","Power and skill Pt bonus"
"賢さボーナスとレースボーナス","Wisdom and race bonus"
"スピードボーナスと初期賢さアップ","Speed bonus and initial wisdom increase"
"パワーボーナスとヒント発生率アップ","Power bonus and hint appearance rate up"
"スタミナボーナスとヒント発生率アップ","Stamina bonus and hint appearance rate up"
"根性ボーナスとレースボーナス","Guts and race bonus"
"賢さボーナスと初期絆ゲージアップ","Wisdom bonus and initial bond gauge increase"
