"text","translation"
"春のGⅠ記念ミッション 第2弾\n宝塚記念","Spring G1 Missions #2\nTakarazuka Kinen"
"春のGⅠ記念ミッション 第2弾\n安田記念","Spring G1 Missions #2\nYasuda Kinen"
"春のG1記念ミッション第2弾(NHKマイル)","Spring G1 Missions #2 (NHK Mile)"
"春のG1記念ミッション 第2弾(日本ダービー)","Spring G1 Missions #2 (Japan Derby)"
"春のG1記念ミッション 第2弾(ヴィクトリアマイル)","Spring G1 Missions #2 (Victoria Mile)"
"春のG1記念ミッション 第2弾(オークス)","Spring G1 Missions #2 (Oaks)"
"春のG1記念ミッション 第1弾(皐月賞)","Spring G1 Missions #1 (Satsuki Sho)"
"春のG1記念ミッション 第1弾(桜花賞)","Spring G1 Missions #1 (Oka Sho)"
"春のG1記念ミッション 第1弾(天皇賞（春）)","Spring G1 Missions #1 (Tenno Sho (Spring))"
"挑戦回数UP","Challenge Count UP"
"報酬獲得量UP","Reward Amount UP"
"リリース記念ミッション 第2弾","Release Missions #2"
"リリース記念ミッション 第1弾","Release Missions #1"
"メインストーリー第4章\n公開記念ミッション","Main Story Chapter 4\nRelease Missions"
"トレセン学園特別\n名トレーナーへの道！","Tracen Academy Special\nRoad to Renowned Trainer!"
"ゴルシちゃんモード","Golshi-chan Mode"
"ゴルシちゃんのGW特別ミッション","Golshi-chan's GW Special Missions"
"TVアニメ第2期最終回応援ミッション","TV Anime Season 2 Final Episode Support Missions"
"Half Anniversary記念ミッション\n第3弾","Half Anniversary Missions\nPart 3"
"Half Anniversary記念ミッション\n第2弾","Half Anniversary Missions\nPart 2"
"Half Anniversary記念ミッション\n第1弾","Half Anniversary Missions\nPart 1"
