"text", "translation"
"天気[雨]で4回以上出走し、3勝する","Race in rainy day 4 times and win 3 times"
"天気[曇り]で4回以上出走し、3勝する","Race in cloudy day 4 times and win 3 times"
"天気[雪]で3回以上出走し、2勝する","Race in snowy day 3 times and win 2 times"
"GⅠに1回以上出走し、\nGⅠ未勝利のまま育成ランクC以上で育成を完了する","Participate GI race 1 times or more and without single GⅠ win complete training with C+ rank"
"ファン数が550000人以上になる","Gather 550000 or more fans"
"10回以上レースに出走し、\n芝のレースのみに出走して育成を完了する","Race in only turf more than 10 times and complete training"
"掛かったレースで3勝する","Win race 3 times with temptation debuff"
"どちらも育成で重賞未勝利のウマ娘から想いを継承し、\nGⅠを勝利する","Inherit from parents without single win and win GI race"
"作戦「逃げ」または「先行」で\nGⅡもしくはGⅠを3バ身差以上で合計6勝する","Win GI or GII race 6 times as runner or leader with 3 lengths difference"
"京都金杯、中山金杯、金鯱賞のいずれかで2勝する","Win 2 out of Kyoto Kinpai, Nakayama Kinpai, and Kinko Sho"
"トレーニング[パワー]がLv5になる","Power training reaches lv5"
"トレーニング[スタミナ]を35回行う","Stamina training reaches lv5"
"トレーニング[根性]がLv5になる","Guts training reaches lv5"
"トレーニング[賢さ]がLv4になる","Intelligence training reaches lv5"
"5連敗以上した後に勝利する","Win race after 5 losses streak"
"メイクデビューを7バ身差以上で勝利する","Win make debut race with 7 lengths difference"
"トレーニングを一切しないでメイクデビューに勝利する","Win make debut race without single training"
"10回以上レースに出走し、\nトレーニングに1度も失敗しないで育成を完了する","Race 10 times without single training fail and complete the run"
"作戦「逃げ」で6勝し、\n基礎能力[スピード]が600以上になる","Win race 6 times as runner with speed more than 600"
"作戦「差し」または「追込」でGⅠを勝利し、\n基礎能力[パワー]と[根性]がそれぞれ500以上になる","Win race as betweener or chaser with power and guts more than 500"
"中央10か所のレース場で、それぞれ重賞を勝利する","Win big prize each in 10 central race grounds"
"日本ダービーを勝利する","Win Japan Derby"
"オークスを勝利する","Win Oaks"
"皐月賞、日本ダービー、菊花賞のいずれかで2勝する","Win 2 out of Satsuki Sho, Japan Derby, and Kikka Sho"
"桜花賞、オークス、秋華賞のいずれかで2勝する","Win 2 out of Oka Sho, Oaks, and Shuka Sho"
"大阪杯、天皇賞（春）、宝塚記念を勝利する","Win Oosaka Hai, Tenno Sho (Spring), and Takarazuka Kinen"
"天皇賞（秋）、ジャパンC、有馬記念を勝利する","Win Tenno Sho (Autumn), Japan Cup, and Arima Kinen"
"天皇賞（春）と天皇賞（秋）を勝利する","Win Tenno Sho (Spring) and Tenno Sho (Autumn)"
"芝のレースで15勝する","Win turf race 15 times"
"20回レースに出走する","Race 20 times"
"ダートのレースで10勝する","Win dirt race 10 times"
"オープン以下で負けずに、重賞を5連勝する","Win big prize 5 times in a row while being undefeated in race grade higher than OP"
"シニア級で初めてGⅠを勝利する","Win your very first GI race in 3rd year"
"GⅠで3着を3回とる","Finish 3rd place in GI race 3 times"
"GⅠで2着を3回とる","Finish 2rd place in GI race 3 times"
"スキルを15個以上獲得する","Learn more than 15 skills"
